カラット,カット,色,透明度,奥行き,テーブル,価格,長さ,幅,深さ,鑑定書,産地
2.54,Very Good,J,VS1,68.2,59.5,20980,6.58,6.49,3.57,松本ガス合同会社鑑定所,オーストラリア
0.44,Good,F,SI1,62.6,56.5,564,3.56,3.47,2.12,合同会社後藤銀行鑑定所,南アフリカ
1.02,Very Good,G,I1,54.3,65.7,3249,4.57,4.4,2.79,山口建設合同会社鑑定所,カナダ
1.37,Very Good,H,VS1,71.3,59.5,5741,5.33,5.18,2.82,佐藤鉱業合同会社鑑定所,南アフリカ
0.56,Ideal,D,VS1,56.0,61.1,1429,3.53,3.56,2.11,前田ガス有限会社鑑定所,ロシア
0.58,Ideal,H,VVS2,59.5,52.6,1126,3.58,3.49,2.2,株式会社佐藤ガス鑑定所,カナダ
1.28,Very Good,F,SI1,53.7,60.7,5586,5.08,4.91,3.02,高橋保険合同会社鑑定所,カナダ
0.96,Premium,G,I1,63.1,58.1,3220,4.26,4.19,2.71,山本農林株式会社鑑定所,ボツワナ
4.29,Good,D,SI2,59.4,65.5,50524,7.45,7.0,5.0,福田通信有限会社鑑定所,ロシア
0.99,Ideal,D,VS2,63.0,60.4,3197,4.97,5.05,3.12,有限会社鈴木鉱業鑑定所,カナダ
1.62,Very Good,I,I1,60.1,57.9,7907,5.78,5.84,3.03,合同会社高橋運輸鑑定所,オーストラリア
0.84,Ideal,D,VS2,61.7,59.3,2158,4.19,3.94,2.99,吉田銀行株式会社鑑定所,カナダ
2.0,Very Good,G,VVS2,61.5,61.7,13697,5.42,5.31,3.05,伊藤食品株式会社鑑定所,カナダ
0.64,Premium,G,VS1,64.2,65.1,1200,4.23,4.13,2.22,合同会社山崎電気鑑定所,南アフリカ
0.72,Ideal,G,VVS2,60.1,55.2,1807,3.86,3.84,2.59,有限会社吉田保険鑑定所,オーストラリア
0.76,Ideal,E,VVS2,53.2,62.1,2265,4.34,4.19,2.62,村上印刷株式会社鑑定所,カナダ
0.88,Ideal,J,VVS1,73.4,58.0,3057,4.29,4.31,2.61,有限会社山本運輸鑑定所,ボツワナ
1.34,Good,E,SI2,63.5,59.2,5124,5.16,5.07,2.87,株式会社伊藤情報鑑定所,カナダ
1.76,Ideal,J,VVS2,65.2,60.7,11267,5.93,5.86,3.54,株式会社三浦運輸鑑定所,ロシア
2.76,Very Good,H,VS2,56.4,59.5,24896,6.68,6.5,4.12,有限会社山口保険鑑定所,南アフリカ
0.43,Very Good,D,I1,69.7,66.3,509,3.73,3.63,2.56,山本鉱業株式会社鑑定所,南アフリカ
2.57,Good,I,VVS2,63.6,60.3,16108,6.36,6.28,3.77,有限会社佐藤保険鑑定所,カナダ
0.77,Fair,G,VS1,59.7,60.6,1546,4.11,3.96,2.34,有限会社高橋食品鑑定所,ボツワナ
0.92,Very Good,F,VS1,53.4,60.4,2552,4.74,4.62,2.89,有限会社高橋銀行鑑定所,ボツワナ
1.28,Very Good,H,VVS2,58.2,62.0,4564,4.72,4.66,2.76,佐藤運輸合同会社鑑定所,オーストラリア
0.53,Very Good,F,SI1,59.1,57.1,817,3.73,3.63,1.97,村上食品株式会社鑑定所,南アフリカ
0.73,Premium,I,I1,59.3,57.4,1882,4.13,4.06,2.16,株式会社斉藤鉱業鑑定所,ボツワナ
0.36,Premium,D,SI1,60.1,60.5,500,3.39,3.34,1.65,株式会社佐々木食品鑑定所,カナダ
0.92,Very Good,E,IF,56.0,55.6,2664,4.25,4.32,2.34,山田銀行有限会社鑑定所,ロシア
1.18,Ideal,J,IF,59.3,67.0,4727,5.14,5.12,3.04,合同会社石川建設鑑定所,ロシア
1.61,Good,F,IF,61.6,65.7,6890,5.29,5.21,2.82,合同会社木村水産鑑定所,ロシア
1.3,Premium,F,IF,60.3,58.4,5989,5.46,5.2,3.42,鈴木ガス株式会社鑑定所,南アフリカ
0.58,Good,I,VS1,60.6,57.7,1013,3.87,3.76,2.52,吉田農林合同会社鑑定所,南アフリカ
0.34,Good,D,VS1,66.6,60.7,500,3.71,3.67,2.23,株式会社山口建設鑑定所,ロシア
1.43,Good,F,VS2,65.5,56.2,4963,5.36,5.24,3.08,斉藤電気合同会社鑑定所,ボツワナ
1.48,Very Good,I,SI2,62.2,62.5,7243,4.89,4.72,2.55,合同会社佐々木銀行鑑定所,オーストラリア
0.8,Very Good,I,VVS2,61.5,56.4,2105,4.51,4.31,2.99,有限会社山口通信鑑定所,ロシア
0.37,Ideal,H,VVS1,57.5,57.0,500,3.31,3.22,1.9,有限会社岡本食品鑑定所,ロシア
0.66,Fair,F,SI2,55.0,63.5,990,3.85,3.8,2.08,有限会社石井ガス鑑定所,ボツワナ
0.59,Ideal,E,SI1,58.7,61.9,1294,3.65,3.47,2.45,合同会社森通信鑑定所,オーストラリア
1.55,Very Good,H,I1,55.7,63.9,7323,4.95,4.86,2.72,橋本情報有限会社鑑定所,オーストラリア
2.6,Premium,J,VS1,62.8,58.8,24260,6.13,5.9,3.41,山田印刷有限会社鑑定所,オーストラリア
0.99,Very Good,F,IF,59.1,56.9,2832,4.53,4.42,2.51,合同会社斉藤農林鑑定所,ボツワナ
2.5,Very Good,J,SI2,56.7,56.9,19976,6.92,6.69,4.15,有限会社鈴木電気鑑定所,オーストラリア
0.55,Very Good,I,I1,51.1,61.4,880,3.89,3.77,2.06,橋本鉱業有限会社鑑定所,南アフリカ
1.04,Ideal,F,SI1,63.6,57.9,2773,4.78,4.77,2.77,有限会社加藤運輸鑑定所,カナダ
0.49,Ideal,G,VS2,67.4,60.6,904,3.81,3.83,2.62,有限会社小林水産鑑定所,南アフリカ
0.68,Premium,J,VVS1,60.6,61.5,1845,4.09,4.03,2.41,加藤建設合同会社鑑定所,ロシア
0.7,Very Good,H,VS1,59.1,58.6,1275,4.2,4.02,2.61,有限会社鈴木食品鑑定所,南アフリカ
1.06,Premium,J,SI2,56.8,64.7,3789,5.06,4.88,2.63,森ガス株式会社鑑定所,南アフリカ
1.59,Very Good,J,SI2,58.6,58.9,8198,5.5,5.44,3.2,有限会社森銀行鑑定所,オーストラリア
0.62,Good,J,VS1,58.8,63.0,1095,4.33,4.25,2.17,有限会社高橋鉱業鑑定所,ロシア
0.63,Premium,H,SI2,56.4,59.1,1230,4.2,4.06,2.7,中島鉱業合同会社鑑定所,南アフリカ
0.87,Very Good,E,I1,56.2,64.5,2386,4.39,4.09,2.85,鈴木電気合同会社鑑定所,オーストラリア
0.71,Ideal,E,VVS2,57.9,61.3,1867,4.08,4.1,2.06,合同会社加藤銀行鑑定所,カナダ
0.98,Premium,I,VVS1,61.1,58.9,2632,4.7,4.78,2.38,長谷川情報合同会社鑑定所,ロシア
1.04,Premium,F,VVS1,61.3,54.3,3151,4.56,4.41,2.72,合同会社佐藤鉱業鑑定所,ロシア
0.48,Very Good,J,VS1,61.5,57.2,723,3.67,3.58,1.96,有限会社小林鉱業鑑定所,ロシア
1.1,Very Good,H,I1,55.7,64.4,3558,4.85,4.72,2.51,株式会社中村農林鑑定所,カナダ
1.35,Ideal,H,SI2,58.7,65.8,6916,5.14,4.87,3.11,田中ガス合同会社鑑定所,ロシア
1.37,Premium,D,VS2,60.2,55.6,6471,5.07,4.92,2.94,林食品株式会社鑑定所,ロシア
1.48,Very Good,G,VVS1,61.9,56.9,6503,5.33,5.27,3.01,近藤印刷株式会社鑑定所,ボツワナ
0.9,Ideal,E,VS1,63.9,61.0,2804,4.7,4.47,2.65,有限会社阿部水産鑑定所,カナダ
1.99,Ideal,H,SI2,63.1,58.7,17349,5.99,5.62,3.43,株式会社加藤水産鑑定所,カナダ
1.89,Premium,G,VS2,49.4,63.7,10908,5.75,5.77,2.97,石川印刷株式会社鑑定所,南アフリカ
0.88,Ideal,H,VS2,61.0,59.4,2389,4.47,4.44,3.01,吉田情報合同会社鑑定所,カナダ
0.37,Very Good,G,IF,61.6,58.0,500,3.5,3.35,1.8,有限会社山口農林鑑定所,ロシア
0.94,Premium,D,I1,63.6,64.6,2492,4.46,4.28,2.44,合同会社高橋電気鑑定所,オーストラリア
0.36,Premium,I,VS1,61.5,61.1,500,3.18,3.13,2.08,合同会社林ガス鑑定所,ボツワナ
0.77,Ideal,E,I1,63.2,66.5,2154,4.52,4.54,2.81,合同会社田中農林鑑定所,オーストラリア
0.62,Premium,F,VVS1,53.2,56.4,1199,3.35,3.21,1.94,有限会社高橋保険鑑定所,ロシア
2.71,Very Good,F,SI2,68.8,57.7,22514,6.69,6.34,4.73,伊藤印刷有限会社鑑定所,ロシア
2.07,Ideal,D,I1,60.6,59.4,15643,5.48,5.19,3.36,石井印刷株式会社鑑定所,オーストラリア
0.88,Ideal,E,SI2,57.6,60.1,2641,4.64,4.52,2.34,有限会社佐藤運輸鑑定所,オーストラリア
1.84,Very Good,I,IF,60.0,60.1,11340,5.68,5.33,3.18,村上通信有限会社鑑定所,ボツワナ
0.61,Good,G,SI1,59.6,60.4,944,4.14,4.13,1.77,福田銀行株式会社鑑定所,南アフリカ
0.62,Premium,E,IF,60.7,59.7,1119,3.73,3.6,2.04,有限会社三浦運輸鑑定所,ロシア
0.96,Premium,F,VVS2,57.9,62.5,2808,4.6,4.39,2.44,有限会社藤井電気鑑定所,南アフリカ
2.02,Very Good,F,VVS2,66.4,63.9,11189,6.04,5.87,3.56,木村印刷有限会社鑑定所,ボツワナ
0.68,Ideal,G,IF,63.8,57.5,1311,4.24,4.0,2.78,合同会社木村情報鑑定所,ボツワナ
0.8,Very Good,J,SI1,59.7,64.4,1910,4.03,3.95,2.35,合同会社池田ガス鑑定所,オーストラリア
0.79,Premium,F,VS1,56.0,57.5,2063,4.5,4.42,2.51,高橋情報株式会社鑑定所,カナダ
0.54,Premium,I,SI1,57.6,60.7,834,3.61,3.48,2.04,小林電気合同会社鑑定所,南アフリカ
0.54,Very Good,E,VVS2,57.7,62.6,904,3.78,3.73,2.29,株式会社遠藤通信鑑定所,オーストラリア
0.88,Very Good,H,VVS2,55.7,57.4,2384,4.39,4.33,2.37,阿部ガス株式会社鑑定所,ボツワナ
0.84,Premium,G,VS1,59.9,59.9,2562,4.06,4.02,2.27,藤井保険株式会社鑑定所,南アフリカ
0.77,Premium,J,I1,59.8,60.5,1804,4.65,4.48,2.95,山崎銀行合同会社鑑定所,ロシア
1.47,Good,H,I1,61.7,58.0,6154,5.18,4.94,2.81,渡辺建設株式会社鑑定所,ボツワナ
0.63,Premium,H,SI1,64.6,63.6,1179,3.78,3.76,2.2,合同会社渡辺農林鑑定所,オーストラリア
0.95,Premium,F,I1,56.9,59.3,2879,4.64,4.75,2.63,合同会社林水産鑑定所,ロシア
1.24,Premium,G,VVS2,63.2,56.9,4670,5.06,4.98,2.99,株式会社松本銀行鑑定所,ボツワナ
1.51,Premium,G,SI2,58.2,60.1,6725,4.96,4.78,2.7,有限会社小林印刷鑑定所,オーストラリア
0.63,Premium,I,IF,63.3,65.0,1566,4.52,4.41,2.74,有限会社石川食品鑑定所,オーストラリア
1.6,Premium,F,VVS2,63.9,58.2,8649,5.6,5.58,3.33,有限会社松田通信鑑定所,ボツワナ
0.81,Very Good,F,IF,54.6,63.3,1940,4.34,4.15,2.74,中村銀行有限会社鑑定所,ボツワナ
1.32,Premium,J,SI2,62.3,63.8,5187,4.91,4.89,2.91,山田保険株式会社鑑定所,オーストラリア
1.49,Good,I,VVS1,61.8,58.1,6186,5.21,5.05,3.19,合同会社池田水産鑑定所,南アフリカ
1.1,Very Good,J,SI2,70.7,62.0,3753,4.25,4.17,2.26,藤井情報株式会社鑑定所,ロシア
0.55,Premium,I,VS2,54.3,64.9,982,3.95,3.94,2.53,有限会社中島電気鑑定所,南アフリカ
0.9,Good,D,SI2,69.2,59.1,1988,4.72,4.74,3.04,合同会社三浦建設鑑定所,ロシア
0.92,Very Good,F,SI2,61.3,57.9,1914,4.51,4.4,2.73,長谷川印刷株式会社鑑定所,ボツワナ
1.06,Premium,J,SI2,60.5,65.5,3799,4.78,4.59,3.0,高橋ガス合同会社鑑定所,オーストラリア
0.76,Good,H,SI1,71.6,57.6,1479,4.9,4.68,2.95,鈴木食品合同会社鑑定所,ボツワナ
1.89,Ideal,I,I1,51.9,56.7,12412,6.16,6.09,3.48,井上農林有限会社鑑定所,南アフリカ
1.04,Very Good,I,I1,66.0,63.5,3368,4.81,4.74,2.69,林運輸合同会社鑑定所,南アフリカ
2.18,Premium,D,VVS2,66.1,60.0,14029,6.01,6.03,3.5,松本建設合同会社鑑定所,カナダ
1.3,Premium,F,SI1,51.2,60.7,5094,4.93,4.67,2.87,有限会社太田銀行鑑定所,ボツワナ
0.75,Very Good,G,SI1,61.8,62.5,1852,4.02,4.11,2.21,田中情報有限会社鑑定所,オーストラリア
0.63,Very Good,J,VVS2,62.4,65.1,1240,3.98,3.79,2.02,有限会社吉田銀行鑑定所,南アフリカ
0.37,Very Good,I,VS2,53.2,58.3,500,3.25,3.13,2.1,池田鉱業株式会社鑑定所,ロシア
0.63,Premium,G,IF,60.3,59.5,1076,4.05,3.87,2.16,山口保険株式会社鑑定所,ロシア
0.52,Premium,D,SI2,59.8,54.5,994,3.45,3.36,2.35,加藤ガス有限会社鑑定所,南アフリカ
1.09,Premium,I,VS1,50.4,62.6,3513,4.51,4.43,2.62,有限会社斎藤運輸鑑定所,ボツワナ
0.48,Premium,E,VVS2,62.3,58.7,778,3.51,3.45,2.1,合同会社佐藤保険鑑定所,カナダ
0.87,Very Good,J,SI1,54.9,64.7,2404,4.65,4.68,3.03,木村ガス株式会社鑑定所,ロシア
1.0,Premium,H,I1,56.7,58.9,3024,4.61,4.53,3.04,鈴木通信合同会社鑑定所,オーストラリア
1.47,Good,J,VVS1,50.4,65.3,5646,5.11,4.97,3.28,合同会社岡田水産鑑定所,ロシア
0.99,Premium,E,SI1,62.9,55.5,2906,4.69,4.53,2.5,合同会社松本鉱業鑑定所,南アフリカ
1.12,Premium,E,VVS1,68.1,57.7,3863,4.52,4.35,2.51,株式会社山本銀行鑑定所,ボツワナ
0.87,Good,E,SI1,59.5,59.9,2224,4.32,4.18,3.0,長谷川水産株式会社鑑定所,ロシア
1.15,Premium,D,I1,63.8,54.6,5098,5.07,5.09,3.31,鈴木情報有限会社鑑定所,ロシア
0.58,Premium,I,IF,65.1,59.0,965,3.92,3.82,2.33,合同会社中島通信鑑定所,カナダ
1.27,Fair,H,VVS2,66.2,59.2,4385,5.01,4.93,2.98,佐藤ガス有限会社鑑定所,ロシア
2.42,Very Good,H,SI1,59.8,64.0,18170,6.1,6.1,3.52,合同会社山下農林鑑定所,カナダ
0.75,Very Good,J,VS2,64.7,60.5,1605,4.11,4.15,2.46,山本情報合同会社鑑定所,ロシア
2.23,Premium,D,I1,52.4,63.1,17222,5.88,5.6,3.58,清水水産株式会社鑑定所,オーストラリア
1.44,Good,E,I1,56.8,57.8,6805,5.15,5.02,3.0,吉田銀行株式会社鑑定所,カナダ
1.14,Premium,D,SI1,57.7,59.6,4817,4.95,4.87,3.26,有限会社山口保険鑑定所,ロシア
1.23,Ideal,J,IF,66.1,62.5,5234,5.2,5.2,3.73,合同会社松本鉱業鑑定所,南アフリカ
1.05,Premium,E,I1,65.9,64.8,3707,4.72,4.57,3.07,中村食品株式会社鑑定所,カナダ
1.37,Good,G,IF,59.2,57.4,5023,4.88,4.7,2.61,有限会社岡本農林鑑定所,オーストラリア
0.49,Fair,H,VVS1,60.2,58.4,688,3.72,3.73,2.36,合同会社井上建設鑑定所,ロシア
0.69,Premium,F,VVS1,57.5,50.9,1506,4.32,4.24,2.56,株式会社村上ガス鑑定所,南アフリカ
1.37,Very Good,I,IF,62.2,62.6,6767,5.34,5.25,3.15,株式会社加藤建設鑑定所,カナダ
1.45,Ideal,D,VS2,56.5,59.7,7577,5.86,5.83,3.53,株式会社清水印刷鑑定所,カナダ
0.79,Fair,J,VVS1,61.3,56.0,1489,4.23,4.26,2.83,合同会社松本通信鑑定所,オーストラリア
1.31,Premium,J,VS1,58.8,57.6,5848,5.1,5.2,3.17,合同会社森食品鑑定所,オーストラリア
0.51,Premium,I,VVS2,60.6,59.2,846,3.32,3.22,1.92,橋本建設株式会社鑑定所,ロシア
0.54,Premium,J,VS2,54.5,55.0,885,3.44,3.39,2.02,有限会社山崎通信鑑定所,ボツワナ
4.72,Ideal,J,VS1,65.7,65.2,78285,7.37,7.29,4.46,岡田食品株式会社鑑定所,カナダ
0.47,Premium,F,VVS1,62.6,52.8,778,3.56,3.39,2.21,株式会社渡辺水産鑑定所,ボツワナ
0.83,Very Good,F,IF,58.3,58.3,2150,3.92,3.92,2.38,後藤印刷株式会社鑑定所,オーストラリア
1.17,Very Good,E,VS2,66.9,58.3,3762,5.06,4.98,2.94,株式会社村上鉱業鑑定所,カナダ
0.73,Premium,F,VVS1,61.4,59.0,1384,4.15,4.06,2.62,鈴木建設株式会社鑑定所,ボツワナ
1.2,Very Good,G,SI2,47.5,56.8,4115,4.83,4.64,2.54,合同会社藤原通信鑑定所,カナダ
0.43,Ideal,H,VS1,56.4,58.4,590,3.57,3.5,2.14,有限会社福田食品鑑定所,ボツワナ
1.24,Very Good,F,VVS2,56.8,55.1,4050,4.68,4.47,2.9,有限会社池田運輸鑑定所,ロシア
3.39,Premium,H,VS2,60.7,57.1,40219,6.4,6.53,3.52,石川通信株式会社鑑定所,ボツワナ
0.32,Premium,I,I1,57.5,55.2,500,3.09,3.11,1.68,有限会社長谷川印刷鑑定所,南アフリカ
1.8,Very Good,E,VVS1,57.6,58.2,9780,5.65,5.57,3.28,伊藤印刷合同会社鑑定所,ロシア
0.99,Premium,F,VVS2,61.8,62.3,3573,4.57,4.54,2.78,株式会社中島水産鑑定所,カナダ
0.79,Good,D,I1,66.3,65.6,1566,4.41,4.36,2.77,有限会社村上水産鑑定所,ボツワナ
1.06,Ideal,I,VS2,66.5,58.3,4217,5.18,5.05,3.24,合同会社森農林鑑定所,オーストラリア
0.86,Very Good,G,SI1,55.4,57.5,2373,4.7,4.33,2.53,山崎ガス有限会社鑑定所,カナダ
1.18,Premium,F,VS1,64.9,64.2,4056,5.01,4.84,2.61,山口水産株式会社鑑定所,オーストラリア
1.46,Premium,I,VVS2,62.1,55.6,7553,5.47,5.32,3.6,渡辺建設合同会社鑑定所,南アフリカ
1.13,Very Good,D,VS2,62.2,61.5,4304,4.81,4.83,3.16,有限会社山田印刷鑑定所,カナダ
0.96,Very Good,H,I1,47.7,58.4,2285,5.05,5.02,3.02,高橋食品有限会社鑑定所,オーストラリア
1.27,Good,I,VS2,57.0,61.0,4771,4.96,4.82,2.98,清水運輸合同会社鑑定所,ロシア
1.07,Premium,D,SI1,62.1,55.8,3630,4.66,4.46,2.88,株式会社高橋電気鑑定所,カナダ
1.47,Very Good,I,VVS2,75.4,61.3,6460,5.2,5.18,3.16,株式会社山口建設鑑定所,南アフリカ
1.87,Ideal,H,VS1,59.5,60.7,12083,5.77,5.83,3.25,小林情報株式会社鑑定所,ボツワナ
0.98,Very Good,J,VS1,54.3,60.7,3125,4.36,4.48,2.94,有限会社小林運輸鑑定所,オーストラリア
0.84,Ideal,F,IF,55.1,66.5,2767,4.31,4.34,2.55,青木通信有限会社鑑定所,ロシア
0.4,Very Good,J,IF,67.5,62.2,500,3.68,3.61,2.49,藤原電気株式会社鑑定所,オーストラリア
1.63,Fair,G,VVS2,59.8,64.5,6491,5.41,5.36,3.34,石井食品有限会社鑑定所,南アフリカ
0.23,Premium,G,SI2,63.7,62.5,500,3.0,3.0,1.96,合同会社鈴木情報鑑定所,ボツワナ
3.72,Very Good,J,VS1,53.3,62.4,48512,6.93,7.01,4.22,有限会社田中電気鑑定所,南アフリカ
0.9,Good,H,I1,66.5,56.5,2264,4.81,4.62,2.96,有限会社長谷川鉱業鑑定所,ロシア
0.45,Premium,D,VS2,58.2,56.7,657,3.18,3.07,1.91,有限会社小川銀行鑑定所,カナダ
0.62,Very Good,I,IF,69.8,58.3,1265,3.95,3.9,2.33,合同会社清水水産鑑定所,カナダ
0.75,Very Good,I,SI1,53.8,61.3,1992,4.11,3.95,2.34,長谷川鉱業有限会社鑑定所,ボツワナ
0.48,Premium,F,VS1,65.0,63.2,688,3.52,3.4,2.14,合同会社石井食品鑑定所,オーストラリア
0.93,Ideal,J,VS1,63.9,57.0,2677,4.72,4.78,2.71,小林建設有限会社鑑定所,オーストラリア
1.11,Very Good,H,VS2,60.1,58.7,3728,4.87,4.88,2.73,中村保険有限会社鑑定所,ボツワナ
2.05,Premium,H,VS1,72.2,62.8,12880,5.75,5.69,3.15,有限会社松本運輸鑑定所,カナダ
0.91,Ideal,G,SI1,64.8,59.9,2774,4.3,4.14,2.6,斎藤ガス合同会社鑑定所,カナダ
0.54,Fair,E,VS2,63.0,61.3,714,3.76,3.68,2.42,鈴木印刷合同会社鑑定所,オーストラリア
0.22,Good,G,SI2,61.4,58.9,500,3.0,3.0,1.92,佐藤情報株式会社鑑定所,カナダ
1.05,Premium,D,IF,60.4,59.8,4256,4.73,4.71,2.43,有限会社木村農林鑑定所,カナダ
1.44,Very Good,E,VS1,57.9,63.1,7990,5.27,5.11,3.11,合同会社田中食品鑑定所,カナダ
0.68,Ideal,D,IF,57.8,56.6,1551,4.07,3.94,2.07,株式会社山下情報鑑定所,オーストラリア
1.12,Very Good,F,VVS2,60.4,52.7,4008,4.9,4.84,3.22,松本保険合同会社鑑定所,ロシア
0.88,Premium,D,SI1,59.8,65.0,2366,4.25,4.02,2.24,山本建設株式会社鑑定所,オーストラリア
3.01,Very Good,J,VVS1,66.0,60.5,25763,6.04,6.04,4.56,株式会社近藤ガス鑑定所,南アフリカ
1.38,Premium,J,I1,52.9,62.2,6736,5.2,5.16,2.98,清水保険株式会社鑑定所,ロシア
1.86,Fair,I,VVS2,59.4,62.4,7371,5.61,5.47,3.47,株式会社松本建設鑑定所,ロシア
1.51,Ideal,J,I1,65.4,60.8,7273,5.29,5.18,3.29,有限会社伊藤情報鑑定所,オーストラリア
1.34,Good,I,SI2,53.8,62.0,4862,4.87,4.66,2.7,有限会社後藤食品鑑定所,オーストラリア
1.26,Fair,G,SI2,48.4,59.3,3892,5.33,5.27,3.05,前田農林株式会社鑑定所,ボツワナ
1.67,Very Good,H,I1,58.7,64.6,8027,5.56,5.68,3.23,合同会社森銀行鑑定所,カナダ
0.97,Ideal,G,IF,63.7,59.0,3377,4.45,4.4,2.41,渡辺銀行有限会社鑑定所,ロシア
0.98,Very Good,F,VS1,48.6,59.4,3035,4.48,4.47,2.93,合同会社橋本運輸鑑定所,カナダ
0.66,Premium,E,VVS1,61.0,62.4,1454,3.9,3.75,2.55,渡辺印刷有限会社鑑定所,ボツワナ
0.98,Premium,G,VVS2,61.1,58.2,3809,4.24,4.02,2.81,佐藤食品有限会社鑑定所,オーストラリア
0.89,Very Good,F,IF,52.3,59.8,2960,4.55,4.42,2.76,合同会社井上通信鑑定所,南アフリカ
0.58,Good,E,VVS2,66.9,65.9,954,3.93,3.89,2.55,佐藤印刷有限会社鑑定所,ロシア
3.39,Good,J,VS2,64.5,58.9,31906,6.8,6.96,3.94,高橋保険合同会社鑑定所,オーストラリア
1.14,Very Good,H,SI2,68.5,63.4,3484,5.02,4.86,2.96,藤井情報株式会社鑑定所,オーストラリア
1.01,Premium,J,I1,50.4,52.4,2868,4.31,4.28,2.44,株式会社三浦食品鑑定所,ボツワナ
2.08,Good,H,VS1,67.0,59.8,10886,6.33,6.17,4.11,伊藤食品株式会社鑑定所,ボツワナ
0.62,Very Good,D,VVS1,60.0,57.6,1273,4.05,3.92,2.37,株式会社石井農林鑑定所,オーストラリア
2.46,Premium,J,VVS1,60.8,62.9,16269,6.47,6.41,4.07,小林鉱業合同会社鑑定所,オーストラリア
1.11,Premium,G,SI2,58.5,61.9,3474,4.48,4.37,2.12,高橋情報有限会社鑑定所,ロシア
1.43,Premium,G,VS1,57.2,61.8,6670,5.33,5.18,3.37,株式会社田中ガス鑑定所,ボツワナ
0.89,Very Good,F,VS2,61.0,57.1,2310,4.7,4.56,2.99,藤井水産有限会社鑑定所,ボツワナ
0.96,Ideal,F,I1,59.3,61.3,3235,4.78,4.63,3.27,合同会社加藤情報鑑定所,カナダ
1.01,Good,J,VS1,62.6,61.6,2608,4.8,4.73,2.74,橋本通信株式会社鑑定所,オーストラリア
1.78,Ideal,G,VS1,53.3,61.8,13958,5.48,5.27,3.13,渡辺印刷合同会社鑑定所,ロシア
0.43,Ideal,H,VVS2,61.9,56.8,553,3.62,3.49,1.98,株式会社後藤電気鑑定所,オーストラリア
0.79,Ideal,D,VS1,63.3,61.0,2207,4.46,4.52,2.73,佐藤印刷有限会社鑑定所,南アフリカ
1.29,Premium,D,VVS1,53.6,55.3,6009,5.11,5.02,3.21,合同会社伊藤建設鑑定所,南アフリカ
0.94,Ideal,G,VS1,62.6,54.0,2537,4.69,4.42,2.64,小林建設合同会社鑑定所,ロシア
1.19,Fair,J,VVS2,64.0,60.9,3280,5.04,5.09,3.2,有限会社石川鉱業鑑定所,南アフリカ
0.47,Very Good,I,VVS1,50.3,57.3,746,3.36,3.16,1.95,有限会社山田通信鑑定所,ボツワナ
0.47,Fair,E,VS1,61.7,66.7,500,3.55,3.56,1.87,合同会社山本鉱業鑑定所,カナダ
0.92,Premium,E,VVS2,51.2,68.0,2361,4.55,4.48,3.26,有限会社松本印刷鑑定所,カナダ
0.93,Fair,J,IF,70.1,60.3,2295,4.63,4.43,2.75,松田ガス株式会社鑑定所,ボツワナ
0.85,Very Good,I,SI1,63.3,64.9,2313,4.17,4.13,2.55,藤井運輸有限会社鑑定所,ロシア
1.31,Fair,F,VS1,57.0,59.6,4439,5.15,5.01,3.32,佐々木情報合同会社鑑定所,ボツワナ
1.48,Ideal,F,SI1,64.2,57.3,8690,5.69,5.6,3.35,渡辺ガス有限会社鑑定所,ボツワナ
1.07,Very Good,D,I1,59.4,57.0,2969,4.76,4.61,2.77,松田水産株式会社鑑定所,ボツワナ
0.87,Premium,J,SI2,61.1,58.3,2301,4.41,4.23,2.73,株式会社伊藤印刷鑑定所,ボツワナ
1.49,Ideal,D,VS1,53.9,57.0,6826,5.2,5.27,3.13,木村通信合同会社鑑定所,南アフリカ
3.13,Very Good,H,VS1,60.0,60.0,37509,6.7,6.47,3.82,株式会社山本ガス鑑定所,カナダ
1.23,Very Good,D,I1,64.0,62.1,4324,5.08,5.09,3.12,高橋電気有限会社鑑定所,カナダ
1.29,Premium,I,VVS2,54.3,55.2,5679,5.59,5.49,3.32,吉田鉱業合同会社鑑定所,オーストラリア
1.22,Very Good,J,VVS1,61.6,59.3,3948,5.2,5.2,3.21,合同会社渡辺保険鑑定所,ロシア
0.74,Premium,F,I1,57.0,57.2,2037,4.04,3.9,2.88,高橋印刷有限会社鑑定所,オーストラリア
1.03,Very Good,E,VVS2,66.7,55.9,3200,4.9,4.85,2.79,田中ガス有限会社鑑定所,南アフリカ
0.95,Very Good,D,I1,58.4,60.4,2235,4.63,4.48,2.98,有限会社清水印刷鑑定所,ロシア
0.72,Very Good,D,SI1,58.0,62.4,1666,3.86,3.77,2.23,株式会社池田情報鑑定所,ボツワナ
1.05,Very Good,F,VVS2,50.3,59.7,3552,4.99,4.76,3.17,福田電気有限会社鑑定所,ロシア
0.95,Premium,H,VS1,62.9,59.8,3150,4.79,4.61,2.73,佐々木水産株式会社鑑定所,南アフリカ
0.38,Very Good,E,SI2,61.0,63.1,500,3.39,3.31,1.83,加藤通信有限会社鑑定所,オーストラリア
2.67,Ideal,G,IF,60.0,59.4,23857,6.23,6.1,3.22,有限会社前田運輸鑑定所,ボツワナ
1.49,Premium,E,VVS1,60.4,59.4,6608,5.12,4.92,3.01,有限会社石井食品鑑定所,ロシア
0.54,Good,J,I1,59.1,60.1,934,4.13,4.12,2.77,渡辺ガス株式会社鑑定所,ボツワナ
